ImageNumber,ObjectNumber,FileName_DNA,PathName_DNA,Children_Depositions_Count,Number_Object_Number
1,1,GtDeer_treatment_septum_4x_29.tif,/Users/kemart/Documents/GitHub/chRonic-time-wasting-disease/TestImages,3073,1
1,2,GtDeer_treatment_septum_4x_29.tif,/Users/kemart/Documents/GitHub/chRonic-time-wasting-disease/TestImages,4,2
1,3,GtDeer_treatment_septum_4x_29.tif,/Users/kemart/Documents/GitHub/chRonic-time-wasting-disease/TestImages,2,3
1,4,GtDeer_treatment_septum_4x_29.tif,/Users/kemart/Documents/GitHub/chRonic-time-wasting-disease/TestImages,0,4
2,1,GtDeer_treatment_septum_4x_37.tif,/Users/kemart/Documents/GitHub/chRonic-time-wasting-disease/TestImages,1,1
2,2,GtDeer_treatment_septum_4x_37.tif,/Users/kemart/Documents/GitHub/chRonic-time-wasting-disease/TestImages,1526,2
2,3,GtDeer_treatment_septum_4x_37.tif,/Users/kemart/Documents/GitHub/chRonic-time-wasting-disease/TestImages,15,3
3,1,GtDeer_treatment_septum_4x_45.tif,/Users/kemart/Documents/GitHub/chRonic-time-wasting-disease/TestImages,414,1
3,2,GtDeer_treatment_septum_4x_45.tif,/Users/kemart/Documents/GitHub/chRonic-time-wasting-disease/TestImages,0,2
4,1,GtDeer_treatment_septum_4x_53.tif,/Users/kemart/Documents/GitHub/chRonic-time-wasting-disease/TestImages,0,1
4,2,GtDeer_treatment_septum_4x_53.tif,/Users/kemart/Documents/GitHub/chRonic-time-wasting-disease/TestImages,10,2
4,3,GtDeer_treatment_septum_4x_53.tif,/Users/kemart/Documents/GitHub/chRonic-time-wasting-disease/TestImages,1,3
4,4,GtDeer_treatment_septum_4x_53.tif,/Users/kemart/Documents/GitHub/chRonic-time-wasting-disease/TestImages,0,4
4,5,GtDeer_treatment_septum_4x_53.tif,/Users/kemart/Documents/GitHub/chRonic-time-wasting-disease/TestImages,0,5
4,6,GtDeer_treatment_septum_4x_53.tif,/Users/kemart/Documents/GitHub/chRonic-time-wasting-disease/TestImages,1,6
4,7,GtDeer_treatment_septum_4x_53.tif,/Users/kemart/Documents/GitHub/chRonic-time-wasting-disease/TestImages,1,7
4,8,GtDeer_treatment_septum_4x_53.tif,/Users/kemart/Documents/GitHub/chRonic-time-wasting-disease/TestImages,0,8
4,9,GtDeer_treatment_septum_4x_53.tif,/Users/kemart/Documents/GitHub/chRonic-time-wasting-disease/TestImages,3,9
5,1,WT_control_septum_4x_09.tif,/Users/kemart/Downloads/controls/septum_4x,279,1
6,1,WT_control_septum_4x_13.tif,/Users/kemart/Downloads/controls/septum_4x,10,1
6,2,WT_control_septum_4x_13.tif,/Users/kemart/Downloads/controls/septum_4x,137,2
6,3,WT_control_septum_4x_13.tif,/Users/kemart/Downloads/controls/septum_4x,5,3
7,1,WT_control_septum_4x_19.tif,/Users/kemart/Downloads/controls/septum_4x,0,1
7,2,WT_control_septum_4x_19.tif,/Users/kemart/Downloads/controls/septum_4x,16,2
7,3,WT_control_septum_4x_19.tif,/Users/kemart/Downloads/controls/septum_4x,17,3
8,1,WT_control_septum_4x_21.tif,/Users/kemart/Downloads/controls/septum_4x,631,1
8,2,WT_control_septum_4x_21.tif,/Users/kemart/Downloads/controls/septum_4x,0,2
